㞎㞎	3	bǎ ba
㹴犬	3	gěng quǎn
㺢㹢狓	3	huò jiā pī
一一	1670
一一二	11
一一分	8
一一列举	34
一一对	9
一一对应	43	yī yī duì yìng
一丁	18
一丁点儿	24	yī dīng diǎn er
一七	22
一万	442
一万七千	5
一万三千	8
一万两	124
一万个	62
一万二	10
一万二千	7
一万五	6
一万五千	45
一万五千余	9
一万亿美元	5
一万余	41
一万倍	14
一万元	61
一万八	5
一万八千	7
一万八千余	8
一万六千	5
一万刀	7
一万双	6
一万句	11
一万只	9
一万名	16
一万块	49
一万多	86
一万多两	9
一万多个	10
一万多元	10
一万多名	26
一万多块	6
一万家	8
一万年	39
一万户	5
一万斤	9
一万次	16
一万步	30
一万遍	9
一万间	5
一丈	298
一三	19
一三五	6
一上午	53
一下	13924
一下一下	22
一下下	37
一下儿	3	yī xià er
一下四周	6
一下头	54
一下子	2333
一下子成	16
一下子打	10
一下子把	61
一下子站	15
一下床	6
一下张	8
一下手	17
一下眼	10
一下站	25
一下脸	10
一下顶	5
一不为少	3	yī bù wéi shǎo
一不做	87	yī bū zuò
一不小心	125
一不怕苦	10
一专多能	27
一世	770
一丘之貉	12	yī qiū zhī hé
一丘貉	3	yī qiū mò
一业	37
一丛丛	31
一丝	1186
一丝一毫	67
一丝不差	3	yī sī bù chā
一丝不挂	60
一丝不苟	112
一丝丝	58
一两	382
一两万	40
一两万元	6
一两丈	5
一两下	7
一两个	424
一两件	39
一两八	5
一两分	7
一两分钟	17
一两千	38
一两口	7
一两句	68
一两只	21
一两名	8
一两回	8
一两场	10
一两声	24
一两处	14
一两多	5
一两天	169
一两套	7
一两家	13
一两岁	17
一两年	164
一两张	8
一两手	8
一两招	12
一两日	19
一两月	7
一两本	8
一两条	8
一两杯	5
一两枚	8
一两样	13
一两次	73
一两步	5
一两点	19
一两片	6
一两百	7
一两百元	5
一两百年	7
一两篇	5
一两米	6
一两部	6
一两重	5
一两页	17
一两项	6
一两颗	5
一个	142747
一个七八岁	8
一个三十	19
一个三十多岁	25
一个三十岁	6
一个三岁	7
一个两岁	7
一个个	2055
一个二元	7
一个二十	11
一个二十五六岁	7
一个二十多岁	13
一个二十岁	6
一个五十	11
一个五十多岁	16
一个五品	5
一个五岁	12
一个亿	24
一个八九岁	6
一个六七岁	5
一个六品	16
一个六岁	6
一个几万	6
一个几亿	17
一个几百万	5
一个劲	42
一个劲儿	143	yī gè jìn er
一个劲地	101
一个包	26
一个十	18
一个十一二岁	7
一个十七八岁	8
一个十七岁	6
一个十三四岁	11
一个十二	22
一个十二三岁	9
一个十五六岁	9
一个十五岁	8
一个十八九岁	7
一个十八岁	11
一个十六七岁	12
一个十几岁	14
一个十四五岁	9
一个十岁	10
一个千	15
一个半	148	yī ge bàn
一个半月	52
一个双	30
一个名	76
一个响	21
一个四十	11
一个四十多岁	19
一个四品	6
一个四岁	5
一个团	89
一个圈	29
一个多	378
一个多元	8
一个多月	406
一个天	93
一个头	70
一个头两个大	3	yī ge tóu liǎng ge dà
一个套	14
一个子儿	3	yī gè zi er
一个家	94
一个尺	5
一个巴掌拍不响	9
一个帖	8
一个床	9
一个打	86
一个排	42
一个接一个	3	yī ge jiē yī ge
一个支	24
一个整	13
一个月	1811
一个样	62	yī ge yàng
一个样儿	5
一个桶	5
一个点	77
一个班	84
一个甲子	5
一个盆	5
一个碗	17
一个程	5
一个第一次	16
一个筐	5
一个系列	14
一个纸	36
一个组	18
一个肚子	6
一个萝卜一个坑	8
一个角	13
一个身	56
一个通	25
一个遍	7
一个集	20
一个零	10
一个顶	20
一中	5590
一中一台	45
一中全会	227
一中院	13
一串	687
一举	848
一举一动	190
一举三得	13
一举两得	67	yī jǔ liǎng dé
一举多得	9
一举成名	204
一举数得	11
一之为甚	3	yī zhī wéi shèn
一乘显性教	3	yī chéng xiǎn xìng jiào
一乙醇胺	6
一九	25
一九一九年	5
一九七	20
一九七一年	8
一九七七年	18
一九七三年	8
一九七九年	23
一九七二年	12
一九七五年	8
一九七八年	15
一九七六年	28
一九七四年	5
一九三	6
一九三七年	23
一九三九年	17
一九三五年	9
一九三八年	17
一九三六年	17
一九九	12
一九九一年	6
一九九七	7
一九九七年	67
一九九三年	9
一九九九年	18
一九九二年	13
一九九五年	20
一九九八年	47
一九九六	5
一九九六年	19
一九九四年	12
一九二七年	15
一九二五年	5
一九二八年	6
一九二四年	6
一九五	42
一九五一年	21
一九五七年	22
一九五三年	19
一九五九年	13
一九五二年	26
一九五五年	17
一九五八年	12
一九五六年	10
一九五四年	21
一九八	20
一九八一年	19
一九八七年	5
一九八三年	14
一九八九年	10
一九八二年	16
一九八五年	9
一九八八年	11
一九八六年	13
一九八四年	16
一九六	17
一九六一年	8
一九六七年	17
一九六三年	22
一九六九年	17
一九六二年	268
一九六五年	20
一九六八年	12
一九六六年	21
一九六四年	12
一九四	13
一九四一年	10
一九四七年	27
一九四三年	21
一九四九年	107
一九四二年	25
一九四五年	19
一九四八	5
一九四八年	24
一九四六年	20
一九四四年	20
一乡	13
一乱涂地	3	yī luàn tú dì
一了	3	yī liǎo
一了百了	61	yī liǎo bǎi liǎo
一了百当	3	yī liǎo bǎi dàng
一事	893
一事无成	59
一二	938
一二一	5
一二万	12
一二三	21
一二三四	7
一二三四五	5
一二个	22
一二九	190
一二件	8
一二位	6
一二例	16
一二八	20
一二分	8
一二分钟	10
一二十	20
一二十万	8
一二十个	5
一二十年	24
一二千	18
一二句	7
一二品	7
一二天	9
一二尺	6
一二年	41
一二成	6
一二日	66
一二次	21
一二点	20
一二百	40
一二百两	7
一二百个	7
一二百名	6
一二百年	21
一二百米	5
一二百里	7
一二里	19
一五	90
一五一十	127
一些	33468
一些则	132
一些半	8
一些子	3	yī xiē zǐ
一些片	10
一些种	22
一些篇	5
一亩	112
一亩三分地	3	yī mǔ sān fēn dì
一人之下	26
一人得道	7	yī rén dé dào
一亿	51
一亿五千万	5
一亿多	23
一亿次	18
一仆二主	3	yī pú èr zhǔ
一介书生	20
一代	2101
一代人	66
一代代	93
一令纸	3	yī lǐng zhǐ
一以贯之	44
一件	6216
一任	188
一份	3677
一伙	491
一伙儿	3	yī huǒ er
一会	3178
一会一节	5
一会儿	3200	yī huì er
一会儿开	8
一会儿站	13
一传	72
一位	9387
一体	1526
一体化	1178
一体式	6
一体机	29
一佛出世	5	yī fó chū shì
一例	226
一侧	729
一倍	986
一倡百和	3	yī chàng bǎi hè
一元	168
一元化	25
一元复始	5
一元论	35
一元醇	6
一克	14
一党制	29
